,0
Start,2019-01-02 00:00:00
End,2025-04-29 00:00:00
Duration,2309 days 00:00:00
Equity Final [$],9615.157821609528
Return [%],-3.8484217839047234
Return (Ann.) [%],-0.6200548084844604
Volatility (Ann.) [%],1.274188660907467
Sharpe Ratio,-0.4866271593116064
Sortino Ratio,-0.6398998107124088
Max. Drawdown [%],-5.813302638100248
# Trades,1035
Win Rate [%],54.685990338164245
Profit Factor,1.1649304970967307
Expectancy [%],0.21576013868795665
