,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_TDI_DI(C,14)_0","Exit_TDI_DI(C,14)_0","Entry_TDI_DI(C,14)_1","Exit_TDI_DI(C,14)_1"
0,-1,16,19,37.62902069091797,39.4155387878418,,,-1.7865180969238281,-0.047477135044203145,2019-01-25,2019-01-30,5 days,,2.2659454345703125,2.847942352294922,-0.24089813232421875,1.9105415344238281
1,-1,17,20,37.28078842163086,39.699378967285156,,,-2.418590545654297,-0.06487498382011125,2019-01-28,2019-01-31,3 days,,1.9964256286621094,3.0148963928222656,-0.2695198059082031,0.16695404052734375
2,-1,18,21,36.89438247680664,39.71846389770508,,,-2.8240814208984375,-0.07654502477914549,2019-01-29,2019-02-01,3 days,,0.9374008178710938,3.3941497802734375,-1.0590248107910156,0.3792533874511719
3,1,22,23,40.846675872802734,41.5455207824707,,,0.6988449096679688,0.017108978753722415,2019-02-04,2019-02-05,1 days,,5.068580627441406,5.035160064697266,1.6744308471679688,-0.033420562744140625
4,-1,24,27,41.559844970703125,40.585880279541016,,,0.9739646911621094,0.023435233982433967,2019-02-06,2019-02-11,5 days,,4.60345458984375,4.020660400390625,-0.4317054748535156,0.6048355102539062
5,-1,25,28,40.772727966308594,40.935604095458984,,,-0.16287612915039062,-0.003994732196604067,2019-02-07,2019-02-12,5 days,,3.5968971252441406,4.222503662109375,-1.0065574645996094,0.20184326171875
6,-1,26,29,40.82062530517578,40.76553726196289,,,0.055088043212890625,0.0013495149278349716,2019-02-08,2019-02-13,5 days,,3.4158248901367188,4.3434295654296875,-0.18107223510742188,0.1209259033203125
7,-1,30,31,40.914058685302734,40.82301712036133,,,0.09104156494140625,0.0022251902614127683,2019-02-14,2019-02-15,1 days,,3.2850379943847656,3.5422286987304688,-1.0583915710449219,0.2571907043457031
8,1,32,33,40.94518280029297,41.20869445800781,,,0.26351165771484375,0.006435718189367945,2019-02-19,2019-02-20,1 days,,4.050800323486328,1.7931556701660156,0.5085716247558594,-2.2576446533203125
9,-1,34,35,40.9763298034668,41.43385696411133,,,-0.45752716064453125,-0.0111656452112463,2019-02-21,2019-02-22,1 days,,1.2769508361816406,1.71539306640625,-0.516204833984375,0.4384422302246094
10,-1,36,38,41.735679626464844,41.88898849487305,,,-0.15330886840820312,-0.0036733286669898835,2019-02-25,2019-02-27,2 days,,0.8890037536621094,0.3291435241699219,-0.8263893127441406,0.115020751953125
11,-1,37,39,41.7596435546875,41.476985931396484,,,0.2826576232910156,0.006768679021909141,2019-02-26,2019-02-28,2 days,,0.21412277221679688,0.7042579650878906,-0.6748809814453125,0.37511444091796875
12,1,40,42,41.91294860839844,42.047096252441406,,,0.13414764404296875,0.003200625307857363,2019-03-01,2019-03-05,4 days,,1.0923233032226562,1.1114921569824219,0.3880653381347656,-0.4263763427734375
13,1,41,43,42.123748779296875,41.80515670776367,,,-0.3185920715332031,-0.007563241182603098,2019-03-04,2019-03-06,2 days,,1.5378684997558594,1.0396194458007812,0.4455451965332031,-0.07187271118164062
14,-1,44,45,41.32126235961914,41.41948699951172,,,-0.09822463989257812,-0.002377096784646371,2019-03-07,2019-03-08,1 days,,0.40720367431640625,0.5964698791503906,-0.632415771484375,0.18926620483398438
