,0
Start,2019-01-02 00:00:00
End,2025-04-29 00:00:00
Duration,2309 days 00:00:00
Equity Final [$],9821.253805862438
Return [%],-1.7874619413756228
Return (Ann.) [%],-0.28761775220447205
Volatility (Ann.) [%],1.8064052713313672
Sharpe Ratio,-0.15922105452697796
Sortino Ratio,-0.2189490815986777
Max. Drawdown [%],-5.3091886808373285
# Trades,342
Win Rate [%],56.4327485380117
Profit Factor,1.2196138387354059
Expectancy [%],0.31434892478317633
