,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_TDI_DI(C,14)_0","Exit_TDI_DI(C,14)_0","Entry_TDI_DI(C,14)_1","Exit_TDI_DI(C,14)_1"
0,-1,16,19,100.8108139038086,100.06771087646484,,,0.74310302734375,0.007371263047759924,2019-01-25,2019-01-30,5 days,,4.929084777832031,1.9848251342773438,-3.3487472534179688,1.8531341552734375
1,-1,17,22,98.8448486328125,99.4656753540039,,,-0.6208267211914062,-0.0062808201922353035,2019-01-28,2019-02-04,7 days,,2.8408355712890625,3.471038818359375,-2.0882492065429688,3.4898529052734375
2,-1,18,22,96.83181762695312,99.4656753540039,,,-2.6338577270507812,-0.027200333439962643,2019-01-29,2019-02-04,6 days,,0.13169097900390625,3.471038818359375,-2.7091445922851562,3.4898529052734375
3,-1,20,25,98.23340606689453,99.02356719970703,,,-0.7901611328125,-0.008043711039342538,2019-01-31,2019-02-07,7 days,,0.7807540893554688,-0.7995758056640625,-1.204071044921875,-1.4110107421875
4,-1,23,28,100.85784912109375,100.54742431640625,,,0.3104248046875,0.003077844782459982,2019-02-05,2019-02-12,7 days,,2.078857421875,0.16930389404296875,-1.392181396484375,0.573822021484375
5,-1,24,28,99.73847961425781,100.54742431640625,,,-0.8089447021484375,-0.008110658045691777,2019-02-06,2019-02-12,6 days,,0.6114349365234375,0.16930389404296875,-1.4674224853515625,0.573822021484375
6,1,29,33,100.4721908569336,101.22245788574219,,,0.7502670288085938,0.007467409861470209,2019-02-13,2019-02-20,7 days,,0.5738067626953125,1.1547470092773438,0.40450286865234375,-3.7649307250976562
7,1,31,36,101.79853057861328,105.41686248779297,,,3.6183319091796875,0.035544048510459225,2019-02-15,2019-02-25,10 days,,2.9536819458007812,5.9511871337890625,3.2076339721679688,-2.198638916015625
8,1,32,36,101.75149536132812,105.41686248779297,,,3.6653671264648438,0.03602273473671147,2019-02-19,2019-02-25,6 days,,4.919677734375,5.9511871337890625,1.9659957885742188,-2.198638916015625
9,1,34,37,103.3574447631836,106.14424133300781,,,2.7867965698242188,0.02696270768118758,2019-02-21,2019-02-26,5 days,,5.1240386962890625,5.2863922119140625,3.9692916870117188,-0.664794921875
10,1,35,40,104.83113861083984,106.30484008789062,,,1.4737014770507812,0.01405786006504739,2019-02-22,2019-03-01,7 days,,8.149826049804688,6.904998779296875,3.025787353515625,0.09607696533203125
