,0
Start,2019-01-02 00:00:00
End,2025-04-29 00:00:00
Duration,2309 days 00:00:00
Equity Final [$],10025.1170675888
Return [%],0.25117067588800635
Return (Ann.) [%],0.04006864252299458
Volatility (Ann.) [%],0.8583514409953619
Sharpe Ratio,0.04668092882389778
Sortino Ratio,0.07006038413252216
Max. Drawdown [%],-2.647165600248158
# Trades,349
Win Rate [%],58.16618911174785
Profit Factor,1.4963078782569037
Expectancy [%],0.7144208546867954
