,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
72,1,706,707,141.0944366455078,141.2108917236328,,,0.116455078125,0.0008253697374163149,2021-10-20,2021-10-21,1 days,,24.873090487616935,27.84090000858849
73,1,707,708,141.2108917236328,136.91192626953125,,,-4.2989654541015625,-0.030443582655898638,2021-10-21,2021-10-22,1 days,,27.84090000858849,13.310590535906314
74,1,708,709,136.91192626953125,136.7930145263672,,,-0.1189117431640625,-0.000868527281764786,2021-10-22,2021-10-25,3 days,,13.310590535906314,15.967253747147765
75,1,709,710,136.7930145263672,138.6456298828125,,,1.8526153564453125,0.013543201477500988,2021-10-25,2021-10-26,1 days,,15.967253747147765,21.903790800063106
76,1,710,711,138.6456298828125,145.52175903320312,,,6.876129150390625,0.04959499377082821,2021-10-26,2021-10-27,1 days,,21.903790800063106,32.50566068930597
77,1,713,714,147.34156799316406,142.814208984375,,,-4.5273590087890625,-0.030726963683453623,2021-10-29,2021-11-01,3 days,,28.49163356513462,29.46429939901533
78,1,714,715,142.814208984375,144.74049377441406,,,1.9262847900390625,0.013488047188986663,2021-11-01,2021-11-02,1 days,,29.46429939901533,38.938063553471544
79,1,720,721,148.2099151611328,145.19931030273438,,,-3.0106048583984375,-0.020313113701774466,2021-11-09,2021-11-10,1 days,,81.13205227209681,83.91810900488075
80,1,721,722,145.19931030273438,145.07290649414062,,,-0.12640380859375,-0.0008705537810764774,2021-11-10,2021-11-11,1 days,,83.91810900488075,72.41378131009789
81,1,751,752,146.21743774414062,147.20272827148438,,,0.98529052734375,0.006738529566274298,2021-12-23,2021-12-27,4 days,,27.552911756110916,32.46159807494733
82,1,771,772,130.18161010742188,126.33101654052734,,,-3.8505935668945312,-0.02957862914521603,2022-01-24,2022-01-25,1 days,,81.04490595806847,82.19789368689256
83,1,772,773,126.33101654052734,128.61807250976562,,,2.2870559692382812,0.018103677401381413,2022-01-25,2022-01-26,1 days,,82.19789368689256,78.7203735004038
84,1,814,815,140.99888610839844,140.78244018554688,,,-0.2164459228515625,-0.0015350895941487197,2022-03-25,2022-03-28,3 days,,21.652565198758253,21.54532078457305
85,1,815,816,140.78244018554688,141.82742309570312,,,1.04498291015625,0.007422679339688987,2022-03-28,2022-03-29,1 days,,21.54532078457305,23.940563363811364
86,1,816,817,141.82742309570312,141.2631378173828,,,-0.5642852783203125,-0.003978675392977693,2022-03-29,2022-03-30,1 days,,23.940563363811364,27.743033812339206
87,1,817,818,141.2631378173828,138.40577697753906,,,-2.85736083984375,-0.020227221934837614,2022-03-30,2022-03-31,1 days,,27.743033812339206,27.61959298960288
88,1,818,819,138.40577697753906,139.48362731933594,,,1.077850341796875,0.007787610931672351,2022-03-31,2022-04-01,1 days,,27.61959298960288,18.595040577888398
89,1,819,820,139.48362731933594,142.29119873046875,,,2.8075714111328125,0.020128322334958426,2022-04-01,2022-04-04,3 days,,18.595040577888398,19.66291840524704
90,1,820,821,142.29119873046875,139.9220428466797,,,-2.3691558837890625,-0.016650052181208852,2022-04-04,2022-04-05,1 days,,19.66291840524704,38.36177344652614
91,1,861,862,117.06282806396484,113.9959945678711,,,-3.06683349609375,-0.026198183888210713,2022-06-02,2022-06-03,1 days,,29.194622522836,35.63724642301834
92,1,865,866,116.63636779785156,114.28909301757812,,,-2.3472747802734375,-0.020124724599977384,2022-06-08,2022-06-09,1 days,,20.190869450566936,36.84613463721757
93,1,885,886,118.78559875488281,115.12609100341797,,,-3.6595077514648438,-0.030807671888040344,2022-07-08,2022-07-11,3 days,,23.570914381122165,36.59237372755368
94,1,894,895,113.79594421386719,107.38658905029297,,,-6.409355163574219,-0.05632323021573182,2022-07-21,2022-07-22,1 days,,28.491276794884314,32.13783823406918
95,1,900,901,115.76652526855469,114.31346893310547,,,-1.4530563354492188,-0.012551610511574274,2022-07-29,2022-08-01,3 days,,29.08689418514369,31.410253275232563
96,1,926,927,106.30177307128906,108.92921447753906,,,2.62744140625,0.024716816383560714,2022-09-06,2022-09-07,1 days,,80.36253737264776,68.04692524642178
97,1,964,965,95.83184051513672,94.060302734375,,,-1.7715377807617188,-0.0184858995845113,2022-10-28,2022-10-31,3 days,,18.61551758223014,11.153092033768388
98,1,965,966,94.060302734375,90.0395278930664,,,-4.020774841308594,-0.04274677759291512,2022-10-31,2022-11-01,1 days,,11.153092033768388,16.666663848479374
99,1,966,967,90.0395278930664,86.55618286132812,,,-3.4833450317382812,-0.03868684247073362,2022-11-01,2022-11-02,1 days,,16.666663848479374,19.605894704560086
100,1,967,968,86.55618286132812,83.03302764892578,,,-3.5231552124023438,-0.04070368049902107,2022-11-02,2022-11-03,1 days,,19.605894704560086,20.02010968219794
101,1,968,969,83.03302764892578,86.16804504394531,,,3.1350173950195312,0.037756269809584575,2022-11-03,2022-11-04,1 days,,20.02010968219794,19.528938929623095
102,1,969,970,86.16804504394531,88.0689468383789,,,1.9009017944335938,0.022060402942461366,2022-11-04,2022-11-07,3 days,,19.528938929623095,21.513499291290827
103,1,970,971,88.0689468383789,88.47699737548828,,,0.408050537109375,0.004633307786207741,2022-11-07,2022-11-08,1 days,,21.513499291290827,25.000004926004507
104,1,971,972,88.47699737548828,86.90450286865234,,,-1.5724945068359375,-0.017772918990033193,2022-11-08,2022-11-09,1 days,,25.000004926004507,33.66534621414128
105,1,973,974,93.4930191040039,95.9512710571289,,,2.458251953125,0.026293427858933294,2022-11-10,2022-11-11,1 days,,28.987997936923037,24.47224689049301
