,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
0,1,15,16,99.89837646484375,100.81082153320312,,,0.912445068359375,0.009133732705660869,2019-01-24,2019-01-25,1 days,,18.064516129032313,22.04724409448825
1,1,16,17,100.81082153320312,98.8448257446289,,,-1.9659957885742188,-0.019501832825821186,2019-01-25,2019-01-28,3 days,,22.04724409448825,31.250000000000043
2,1,23,24,100.85787963867188,99.73847198486328,,,-1.1194076538085938,-0.011098861663748294,2019-02-05,2019-02-06,1 days,,29.16666666666673,32.183908045977034
3,1,34,35,103.35746002197266,104.8311538696289,,,1.47369384765625,0.01425822429598167,2019-02-21,2019-02-22,1 days,,29.629629629629633,33.783783783783775
4,1,39,40,105.83251190185547,106.3048324584961,,,0.472320556640625,0.004462906040429537,2019-02-28,2019-03-01,1 days,,17.543859649122766,11.666666666666572
5,1,40,41,106.3048324584961,106.04978942871094,,,-0.25504302978515625,-0.0023991668477040262,2019-03-01,2019-03-04,3 days,,11.666666666666572,18.333333333333258
6,1,41,42,106.04978942871094,105.52075958251953,,,-0.5290298461914062,-0.004988504447215658,2019-03-04,2019-03-05,1 days,,18.333333333333258,23.999999999999986
7,1,42,43,105.52075958251953,105.56798553466797,,,0.0472259521484375,0.00044755129071560873,2019-03-05,2019-03-06,1 days,,23.999999999999986,36.5384615384615
8,1,69,70,113.67335510253906,114.25907135009766,,,0.5857162475585938,0.005152625670547417,2019-04-11,2019-04-12,1 days,,25.99999999999997,5.8823529411765065
9,1,70,71,114.25907135009766,114.353515625,,,0.09444427490234375,0.0008265801024494035,2019-04-12,2019-04-15,3 days,,5.8823529411765065,6.382978723404307
10,1,71,72,114.353515625,114.0889892578125,,,-0.2645263671875,-0.0023132333600915933,2019-04-15,2019-04-16,1 days,,6.382978723404307,5.8823529411765065
11,1,72,73,114.0889892578125,115.03369140625,,,0.9447021484375,0.008280397210836066,2019-04-16,2019-04-17,1 days,,5.8823529411765065,11.320754716981128
12,1,73,74,115.03369140625,116.54515838623047,,,1.5114669799804688,0.01313934171374731,2019-04-17,2019-04-18,1 days,,11.320754716981128,24.0
13,1,74,75,116.54515838623047,116.9135971069336,,,0.368438720703125,0.0031613387102886747,2019-04-18,2019-04-22,4 days,,24.0,26.66666666666667
14,1,75,76,116.9135971069336,118.50066375732422,,,1.587066650390625,0.01357469695281921,2019-04-22,2019-04-23,1 days,,26.66666666666667,24.44444444444443
15,1,76,77,118.50066375732422,118.09445190429688,,,-0.40621185302734375,-0.0034279289258599688,2019-04-23,2019-04-24,1 days,,24.44444444444443,29.2682926829268
16,1,77,78,118.09445190429688,122.00541687011719,,,3.9109649658203125,0.03311726251957836,2019-04-24,2019-04-25,1 days,,29.2682926829268,32.55813953488371
17,1,86,87,118.57624816894531,118.5667953491211,,,-0.00945281982421875,-7.971933646233609e-05,2019-05-07,2019-05-08,1 days,,80.48780487804883,75.00000000000006
18,1,90,91,116.52627563476562,117.82994842529297,,,1.3036727905273438,0.011187801063972103,2019-05-13,2019-05-14,1 days,,86.36363636363637,77.77777777777776
19,1,117,118,129.8528289794922,129.8717803955078,,,0.018951416015625,0.00014594534570067097,2019-06-20,2019-06-21,1 days,,18.888888888888957,6.896551724137979
20,1,118,119,129.8717803955078,130.6398162841797,,,0.768035888671875,0.00591380118400564,2019-06-21,2019-06-24,3 days,,6.896551724137979,14.6666666666667
21,1,119,120,130.6398162841797,126.51519775390625,,,-4.1246185302734375,-0.03157244588664443,2019-06-24,2019-06-25,1 days,,14.6666666666667,25.316455696202524
