,0
Start,2019-01-02 00:00:00
End,2025-04-30 00:00:00
Duration,2310 days 00:00:00
Equity Final [$],8818.863340820297
Return [%],-11.811366591797032
Return (Ann.) [%],-1.9711626252984615
Volatility (Ann.) [%],0.5501585927091622
Sharpe Ratio,-3.582898915732293
Sortino Ratio,-3.9852866218105087
Max. Drawdown [%],-11.865945572609316
# Trades,981
Win Rate [%],49.235474006116206
Profit Factor,0.928902828570893
Expectancy [%],-0.04096335576390427
