,0
Start,2019-01-02 00:00:00
End,2025-04-30 00:00:00
Duration,2310 days 00:00:00
Equity Final [$],9866.84286327364
Return [%],-1.3315713672636047
Return (Ann.) [%],-0.21210039326187147
Volatility (Ann.) [%],1.3744397019702208
Sharpe Ratio,-0.15431771430775137
Sortino Ratio,-0.20768466648499545
Max. Drawdown [%],-2.9562601457499005
# Trades,1022
Win Rate [%],56.360078277886494
Profit Factor,1.2942710390572763
Expectancy [%],0.3608233672653712
