,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)"
0,1,148,149,125.35847473144531,127.7099380493164,,,2.3514633178710938,0.018757912641395924,2019-08-05,2019-08-06,1 days,,37.608226349082585,46.294546938103885
1,1,156,157,127.17438507080078,129.50515747070312,,,2.3307723999023438,0.01832737306812815,2019-08-15,2019-08-16,1 days,,37.88439373528033,43.035328100660884
2,1,288,289,160.87301635742188,162.88311767578125,,,2.010101318359375,0.012494956356716713,2020-02-25,2020-02-26,1 days,,34.70612106123254,38.35443043061224
3,1,289,290,162.88311767578125,151.40652465820312,,,-11.476593017578125,-0.07045907016847675,2020-02-26,2020-02-27,1 days,,38.35443043061224,23.97887844966756
4,1,290,291,151.40652465820312,155.07249450683594,,,3.6659698486328125,0.024212760030709823,2020-02-27,2020-02-28,1 days,,23.97887844966756,29.24847988948251
5,1,291,292,155.07249450683594,165.3909149169922,,,10.31842041015625,0.0665393333806299,2020-02-28,2020-03-02,3 days,,29.24847988948251,36.61107234027687
6,1,292,293,165.3909149169922,157.46548461914062,,,-7.9254302978515625,-0.04791938119351502,2020-03-02,2020-03-03,1 days,,36.61107234027687,34.2121381711905
7,1,293,294,157.46548461914062,163.24681091308594,,,5.7813262939453125,0.03671487950472785,2020-03-03,2020-03-04,1 days,,34.2121381711905,39.853366758631246
8,1,294,295,163.24681091308594,159.15013122558594,,,-4.0966796875,-0.025095005927442626,2020-03-04,2020-03-05,1 days,,39.853366758631246,37.99975968260034
9,1,295,296,159.15013122558594,154.65135192871094,,,-4.498779296875,-0.028267518614221165,2020-03-05,2020-03-06,1 days,,37.99975968260034,34.197722501183506
10,1,296,297,154.65135192871094,144.1702423095703,,,-10.481109619140625,-0.06777250562912673,2020-03-06,2020-03-09,3 days,,34.197722501183506,28.179381907405585
