,0
Start,2019-01-02 00:00:00
End,2025-04-30 00:00:00
Duration,2310 days 00:00:00
Equity Final [$],9381.878997573882
Return [%],-6.181210024261182
Return (Ann.) [%],-1.0055243902491795
Volatility (Ann.) [%],3.2569994546209435
Sharpe Ratio,-0.30872722094643534
Sortino Ratio,-0.41075703169513095
Max. Drawdown [%],-12.387831376538172
# Trades,1379
Win Rate [%],57.28788977519942
Profit Factor,1.34444229529129
Expectancy [%],0.40515942511693115
