,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_TDI_DI(C,14)_0","Exit_TDI_DI(C,14)_0","Entry_TDI_DI(C,14)_1","Exit_TDI_DI(C,14)_1"
0,-1,16,19,37.6290168762207,39.41554641723633,,,-1.786529541015625,-0.04747744398670717,2019-01-25,2019-01-30,5 days,,2.265949249267578,2.847942352294922,-0.24089813232421875,1.9105644226074219
1,-1,17,20,37.2807731628418,39.69937515258789,,,-2.4186019897460938,-0.06487531734338448,2019-01-28,2019-01-31,3 days,,1.9964065551757812,3.014892578125,-0.2695426940917969,0.16695022583007812
2,-1,18,21,36.894371032714844,39.71847152709961,,,-2.8241004943847656,-0.0765455654977989,2019-01-29,2019-02-01,3 days,,0.9373779296875,3.3941574096679688,-1.0590286254882812,0.37926483154296875
3,1,22,23,40.84666061401367,41.54552459716797,,,0.6988639831542969,0.017109452098380995,2019-02-04,2019-02-05,1 days,,5.068569183349609,5.035163879394531,1.6744117736816406,-0.033405303955078125
4,-1,24,27,41.55984115600586,40.58587646484375,,,0.9739646911621094,0.02343523613350862,2019-02-06,2019-02-11,5 days,,4.60345458984375,4.020652770996094,-0.43170928955078125,0.6048316955566406
5,-1,25,28,40.772727966308594,40.935611724853516,,,-0.16288375854492188,-0.003994919316645085,2019-02-07,2019-02-12,5 days,,3.596904754638672,4.222515106201172,-1.0065498352050781,0.20186233520507812
6,-1,26,29,40.820640563964844,40.76553726196289,,,0.055103302001953125,0.001349888224208673,2019-02-08,2019-02-13,5 days,,3.415821075439453,4.343437194824219,-0.18108367919921875,0.12092208862304688
7,-1,30,31,40.91405487060547,40.82303237915039,,,0.09102249145507812,0.0022247242846730186,2019-02-14,2019-02-15,1 days,,3.2850379943847656,3.5422592163085938,-1.0583992004394531,0.2572212219238281
8,1,32,33,40.9451904296875,41.20869064331055,,,0.2635002136230469,0.0064354374923603075,2019-02-19,2019-02-20,1 days,,4.050819396972656,1.7931442260742188,0.5085601806640625,-2.2576751708984375
9,-1,34,35,40.976348876953125,41.433860778808594,,,-0.45751190185546875,-0.011165267633515219,2019-02-21,2019-02-22,1 days,,1.2769737243652344,1.7153892517089844,-0.5161705017089844,0.43841552734375
10,-1,36,38,41.735687255859375,41.88899612426758,,,-0.15330886840820312,-0.00367332799549569,2019-02-25,2019-02-27,2 days,,0.8890266418457031,0.32915496826171875,-0.8263626098632812,0.11504364013671875
11,-1,37,39,41.75963592529297,41.47698211669922,,,0.28265380859375,0.006768588909621065,2019-02-26,2019-02-28,2 days,,0.214111328125,0.704254150390625,-0.6749153137207031,0.37509918212890625
12,1,40,42,41.9129524230957,42.04710006713867,,,0.13414764404296875,0.0032006250165532713,2019-03-01,2019-03-05,4 days,,1.0923118591308594,1.1114883422851562,0.3880577087402344,-0.42638397216796875
13,1,41,43,42.123748779296875,41.80515670776367,,,-0.3185920715332031,-0.007563241182603098,2019-03-04,2019-03-06,2 days,,1.537872314453125,1.0396194458007812,0.4455604553222656,-0.071868896484375
14,-1,44,45,41.3212776184082,41.41949462890625,,,-0.09821701049804688,-0.0023769112708724727,2019-03-07,2019-03-08,1 days,,0.4072227478027344,0.5964622497558594,-0.6323966979980469,0.189239501953125
15,1,46,51,42.85435485839844,45.03898239135742,,,2.1846275329589844,0.050977958720357375,2019-03-11,2019-03-18,7 days,,1.9091644287109375,3.279346466064453,1.3127021789550781,0.4311676025390625
16,1,47,52,43.33583450317383,44.68207931518555,,,1.3462448120117188,0.03106539489652893,2019-03-12,2019-03-19,7 days,,2.1271438598632812,2.7930831909179688,0.21797943115234375,-0.4862632751464844
17,1,48,52,43.52747344970703,44.68207931518555,,,1.1546058654785156,0.02652591051057862,2019-03-13,2019-03-19,6 days,,2.5511245727539062,2.7930831909179688,0.423980712890625,-0.4862632751464844
18,1,49,54,44.011348724365234,46.7325553894043,,,2.7212066650390625,0.061829658574688695,2019-03-14,2019-03-21,7 days,,2.5774879455566406,4.819602966308594,0.026363372802734375,1.2240524291992188
19,1,50,55,44.583866119384766,45.76481246948242,,,1.1809463500976562,0.026488199720844596,2019-03-15,2019-03-22,7 days,,2.8481788635253906,3.641063690185547,0.27069091796875,-1.1785392761230469
20,1,51,55,45.03898239135742,45.76481246948242,,,0.725830078125,0.016115596747236394,2019-03-18,2019-03-22,4 days,,3.279346466064453,3.641063690185547,0.4311676025390625,-1.1785392761230469
21,1,53,56,45.072532653808594,45.21147155761719,,,0.13893890380859375,0.003082562608046624,2019-03-20,2019-03-25,5 days,,3.595550537109375,3.1643714904785156,0.8024673461914062,-0.47669219970703125
22,1,54,57,46.7325553894043,44.744354248046875,,,-1.9882011413574219,-0.04254424190568029,2019-03-21,2019-03-26,5 days,,4.819602966308594,2.939197540283203,1.2240524291992188,-0.2251739501953125
23,1,58,59,45.146785736083984,45.2066650390625,,,0.059879302978515625,0.0013263248313746256,2019-03-27,2019-03-28,1 days,,3.8255081176757812,3.78717041015625,0.8863105773925781,-0.03833770751953125
24,-1,60,62,45.501312255859375,46.47624969482422,,,-0.9749374389648438,-0.02142657850135521,2019-03-29,2019-04-02,4 days,,2.6469573974609375,2.9487762451171875,-1.1402130126953125,0.4742851257324219
25,-1,61,66,45.810325622558594,47.93268966674805,,,-2.122364044189453,-0.046329381320623586,2019-04-01,2019-04-08,7 days,,2.4744911193847656,3.2506103515625,-0.17246627807617188,1.0994987487792969
26,-1,63,66,46.79485321044922,47.93268966674805,,,-1.1378364562988281,-0.02431541885988331,2019-04-03,2019-04-08,5 days,,2.7835044860839844,3.2506103515625,-0.16527175903320312,1.0994987487792969
27,-1,64,69,46.87629699707031,47.65719985961914,,,-0.7809028625488281,-0.016658800130855855,2019-04-04,2019-04-11,7 days,,2.292430877685547,1.8923873901367188,-0.4910736083984375,0.5676994323730469
28,-1,65,69,47.190093994140625,47.65719985961914,,,-0.4671058654785156,-0.009898388113753542,2019-04-05,2019-04-11,6 days,,2.151111602783203,1.8923873901367188,-0.14131927490234375,0.5676994323730469
29,-1,67,70,47.7889518737793,47.63805389404297,,,0.15089797973632812,0.0031575913222554597,2019-04-09,2019-04-12,3 days,,2.716419219970703,2.4265823364257812,-0.5341911315917969,0.5341949462890625
30,-1,68,71,48.05724334716797,47.724273681640625,,,0.33296966552734375,0.006928605186984127,2019-04-10,2019-04-15,5 days,,1.3246879577636719,2.97991943359375,-1.3917312622070312,0.5533370971679688
31,-1,72,73,47.72905731201172,48.65849685668945,,,-0.9294395446777344,-0.01947324328242761,2019-04-16,2019-04-17,1 days,,2.5822715759277344,3.451831817626953,-0.3976478576660156,0.8695602416992188
32,-1,74,76,48.83335876464844,49.700504302978516,,,-0.8671455383300781,-0.0177572372711301,2019-04-18,2019-04-23,5 days,,3.3320465087890625,3.224254608154297,-0.11978530883789062,0.0407257080078125
33,-1,75,80,48.99385452270508,49.01302719116211,,,-0.01917266845703125,-0.00039132802764374475,2019-04-22,2019-04-29,7 days,,3.1835289001464844,1.0803375244140625,-0.14851760864257812,-0.6683387756347656
34,-1,77,82,49.623863220214844,50.42872619628906,,,-0.8048629760742188,-0.01621927282248259,2019-04-24,2019-05-01,7 days,,2.829010009765625,2.3714828491210938,-0.3952445983886719,2.0912094116210938
