,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_CMF(H,L,C,V)","Exit_CMF(H,L,C,V)"
11,1,31,36,101.79852294921875,105.41683959960938,,,3.618316650390625,0.03554390128229645,2019-02-15,2019-02-25,10 days,,0.2746736449429998,0.28045542886705194
12,1,32,37,101.75148010253906,106.1442642211914,,,4.392784118652344,0.04317169749497074,2019-02-19,2019-02-26,7 days,,0.22758718667835393,0.3188690287857661
13,1,33,38,101.22248840332031,105.96476745605469,,,4.742279052734375,0.04685005404963771,2019-02-20,2019-02-27,7 days,,0.2489771166686484,0.3800124236175255
14,1,34,39,103.35745239257812,105.83250427246094,,,2.4750518798828125,0.02394652560206234,2019-02-21,2019-02-28,7 days,,0.2682041333680614,0.27398874446376376
15,1,35,40,104.83112335205078,106.3048324584961,,,1.4737091064453125,0.014057934889204704,2019-02-22,2019-03-01,7 days,,0.29701619746115987,0.2794706599650903
16,1,36,41,105.41683959960938,106.04981231689453,,,0.6329727172851562,0.006004474424478046,2019-02-25,2019-03-04,7 days,,0.28045542886705194,0.3325479705900542
17,1,37,42,106.1442642211914,105.52076721191406,,,-0.6234970092773438,-0.005874052770087124,2019-02-26,2019-03-05,7 days,,0.3188690287857661,0.269262079136029
18,1,38,43,105.96476745605469,105.56800079345703,,,-0.39676666259765625,-0.0037443262711089886,2019-02-27,2019-03-06,7 days,,0.3800124236175255,0.20192150097229342
19,1,39,44,105.83250427246094,104.2832260131836,,,-1.5492782592773438,-0.014638964370424445,2019-02-28,2019-03-07,7 days,,0.27398874446376376,0.19331638969314932
20,1,40,45,106.3048324584961,104.39659881591797,,,-1.908233642578125,-0.017950582287245886,2019-03-01,2019-03-08,7 days,,0.2794706599650903,0.20260373381988545
21,1,41,46,106.04981231689453,106.5882568359375,,,0.5384445190429688,0.0050772793207214395,2019-03-04,2019-03-11,7 days,,0.3325479705900542,0.21096858695954987
22,1,42,47,105.52076721191406,107.33454132080078,,,1.8137741088867188,0.017188788110724884,2019-03-05,2019-03-12,7 days,,0.269262079136029,0.25863795614651297
23,1,43,48,105.56800079345703,108.1658706665039,,,2.597869873046875,0.024608497399980056,2019-03-06,2019-03-13,7 days,,0.20192150097229342,0.2300311006196059
24,1,45,50,104.39659881591797,109.49785614013672,,,5.10125732421875,0.048864209965439276,2019-03-08,2019-03-15,7 days,,0.20260373381988545,0.19290492732278555
25,1,46,51,106.5882568359375,111.06603240966797,,,4.477775573730469,0.042010027245522386,2019-03-11,2019-03-18,7 days,,0.21096858695954987,0.20537495595372926
26,1,47,52,107.33454132080078,111.1416015625,,,3.8070602416992188,0.03546910616891452,2019-03-12,2019-03-19,7 days,,0.25863795614651297,0.19571274427189791
27,1,48,53,108.1658706665039,111.01878356933594,,,2.8529129028320312,0.026375351904003974,2019-03-13,2019-03-20,7 days,,0.2300311006196059,0.18143232633843823
28,1,49,54,108.25090026855469,113.56942749023438,,,5.3185272216796875,0.04913148258799871,2019-03-14,2019-03-21,7 days,,0.22949616931820807,0.16820884215419943
29,1,51,56,111.06603240966797,111.15105438232422,,,0.08502197265625,0.0007655083269981766,2019-03-18,2019-03-25,7 days,,0.20537495595372926,0.11396494481321649
30,1,64,69,112.75701141357422,113.6733627319336,,,0.916351318359375,0.008126779052331834,2019-04-04,2019-04-11,7 days,,0.21147626005763784,0.20945948157167446
31,1,69,74,113.6733627319336,116.54518127441406,,,2.8718185424804688,0.0252637774889517,2019-04-11,2019-04-18,7 days,,0.20945948157167446,0.29096545793333783
32,1,70,75,114.25904846191406,116.91361236572266,,,2.6545639038085938,0.023232854986477758,2019-04-12,2019-04-22,10 days,,0.26461279840704377,0.4148803689129134
33,1,71,76,114.35352325439453,118.50067138671875,,,4.147148132324219,0.03626602849042393,2019-04-15,2019-04-23,8 days,,0.205819323847422,0.42912350746303735
34,1,72,77,114.08899688720703,118.09445190429688,,,4.005455017089844,0.03510816228009972,2019-04-16,2019-04-24,8 days,,0.22068703311733864,0.3936785135064723
35,1,73,78,115.03367614746094,122.00540161132812,,,6.9717254638671875,0.06060595207728725,2019-04-17,2019-04-25,8 days,,0.28012415188115547,0.3140448750071324
36,1,74,79,116.54518127441406,122.70449829101562,,,6.1593170166015625,0.052849177883202314,2019-04-18,2019-04-26,8 days,,0.29096545793333783,0.3145643209487757
37,1,75,80,116.91361236572266,122.59114074707031,,,5.677528381347656,0.048561739445596164,2019-04-22,2019-04-29,7 days,,0.4148803689129134,0.2946270441377328
38,1,76,81,118.50067138671875,123.37523651123047,,,4.874565124511719,0.04113533761006227,2019-04-23,2019-04-30,7 days,,0.42912350746303735,0.29790206040370537
39,1,77,82,118.09445190429688,120.80567932128906,,,2.7112274169921875,0.022958126933764422,2019-04-24,2019-05-01,7 days,,0.3936785135064723,0.21839919979206832
40,1,78,83,122.00540161132812,119.22807312011719,,,-2.7773284912109375,-0.022763979746230012,2019-04-25,2019-05-02,7 days,,0.3140448750071324,0.17226114598749082
41,1,79,84,122.70449829101562,121.76924896240234,,,-0.9352493286132812,-0.007621964488988553,2019-04-26,2019-05-03,7 days,,0.3145643209487757,0.19741872315533476
42,1,80,85,122.59114074707031,121.06074523925781,,,-1.5303955078125,-0.012483736577425297,2019-04-29,2019-05-06,7 days,,0.2946270441377328,0.22295620363690843
43,1,81,86,123.37523651123047,118.57623291015625,,,-4.799003601074219,-0.038897624327045355,2019-04-30,2019-05-07,7 days,,0.29790206040370537,0.17447962502291062
44,1,82,87,120.80567932128906,118.5667953491211,,,-2.2388839721679688,-0.018532936404533906,2019-05-01,2019-05-08,7 days,,0.21839919979206832,0.1494786377160782
45,1,85,90,121.06074523925781,116.52629089355469,,,-4.534454345703125,-0.037456025375867896,2019-05-06,2019-05-13,7 days,,0.22295620363690843,0.11247211835105772
46,1,89,94,120.09715270996094,121.43302154541016,,,1.3358688354492188,0.011123234858659625,2019-05-10,2019-05-17,7 days,,0.20313105158124728,0.05384250320972898
47,1,179,184,131.77883911132812,132.57797241210938,,,0.79913330078125,0.006064200490536464,2019-09-18,2019-09-25,7 days,,0.2020525589027666,0.1687974047643631
48,1,182,187,132.36866760253906,132.2639923095703,,,-0.10467529296875,-0.000790786028632251,2019-09-23,2019-09-30,7 days,,0.226684403986407,0.12746744167440874
49,1,221,226,142.67161560058594,142.79432678222656,,,0.122711181640625,0.0008600952692940922,2019-11-15,2019-11-22,7 days,,0.20877349874185902,0.13554295887010093
50,1,222,227,143.02359008789062,144.35983276367188,,,1.33624267578125,0.009342813132855232,2019-11-18,2019-11-25,7 days,,0.2027680335583584,0.21832470446082003
51,1,223,228,143.07113647460938,145.1234588623047,,,2.0523223876953125,0.014344768890960369,2019-11-19,2019-11-26,7 days,,0.22643188306384518,0.2743231952542392
52,1,227,232,144.35983276367188,142.527099609375,,,-1.832733154296875,-0.012695589342342939,2019-11-25,2019-12-03,8 days,,0.21832470446082003,0.32715040274029095
53,1,228,233,145.1234588623047,143.04254150390625,,,-2.0809173583984375,-0.014338945437986306,2019-11-26,2019-12-04,8 days,,0.2743231952542392,0.3427286160837308
54,1,229,234,145.40032958984375,143.1188507080078,,,-2.2814788818359375,-0.015691015888834037,2019-11-27,2019-12-05,8 days,,0.27073517886109244,0.33210541876232497
55,1,230,235,144.50302124023438,144.85621643066406,,,0.3531951904296875,0.002444206269172078,2019-11-29,2019-12-06,7 days,,0.2930515164900367,0.374048838453609
56,1,231,236,142.75613403320312,144.48391723632812,,,1.727783203125,0.012103040018743627,2019-12-02,2019-12-09,7 days,,0.273211882124106,0.31959595976938104
57,1,232,237,142.527099609375,144.26438903808594,,,1.7372894287109375,0.012189186712368016,2019-12-03,2019-12-10,7 days,,0.32715040274029095,0.28048066303641744
58,1,233,238,143.04254150390625,144.80848693847656,,,1.7659454345703125,0.01234559604439145,2019-12-04,2019-12-11,7 days,,0.3427286160837308,0.3015690008768699
59,1,234,239,143.1188507080078,146.27850341796875,,,3.1596527099609375,0.02207712467176859,2019-12-05,2019-12-12,7 days,,0.33210541876232497,0.3154803150685729
60,1,235,240,144.85621643066406,147.50990295410156,,,2.6536865234375,0.018319452135543646,2019-12-06,2019-12-13,7 days,,0.374048838453609,0.32598758558850666
61,1,236,241,144.48391723632812,148.46449279785156,,,3.9805755615234375,0.02755030205204445,2019-12-09,2019-12-16,7 days,,0.31959595976938104,0.28784859564960535
62,1,237,242,144.26438903808594,147.66265869140625,,,3.3982696533203125,0.023555845458321345,2019-12-10,2019-12-17,7 days,,0.28048066303641744,0.20858341423703153
63,1,238,243,144.80848693847656,147.35719299316406,,,2.5487060546875,0.01760052955853575,2019-12-11,2019-12-18,7 days,,0.3015690008768699,0.20559744471374652
64,1,239,244,146.27850341796875,148.63632202148438,,,2.357818603515625,0.016118695149474727,2019-12-12,2019-12-19,7 days,,0.3154803150685729,0.264641726581251
65,1,240,245,147.50990295410156,150.25909423828125,,,2.7491912841796875,0.018637333691658098,2019-12-13,2019-12-20,7 days,,0.32598758558850666,0.22497210831821338
66,1,241,246,148.46449279785156,150.25909423828125,,,1.7946014404296875,0.012087748434726375,2019-12-16,2019-12-23,7 days,,0.28784859564960535,0.19609135115150558
67,1,242,247,147.66265869140625,150.23043823242188,,,2.567779541015625,0.017389498223663313,2019-12-17,2019-12-24,7 days,,0.20858341423703153,0.15675238505612357
68,1,243,248,147.35719299316406,151.46180725097656,,,4.1046142578125,0.027854861879751613,2019-12-18,2019-12-26,8 days,,0.20559744471374652,0.17473714795609518
69,1,244,249,148.63632202148438,151.73866271972656,,,3.1023406982421875,0.020872022773772425,2019-12-19,2019-12-27,8 days,,0.264641726581251,0.15580653534425473
70,1,245,250,150.25909423828125,150.43093872070312,,,0.171844482421875,0.0011436544542813287,2019-12-20,2019-12-30,10 days,,0.22497210831821338,0.1671007191279436
71,1,251,256,150.5359344482422,152.81736755371094,,,2.28143310546875,0.015155405344450479,2019-12-31,2020-01-08,8 days,,0.22890276932238304,0.19741793544130776
72,1,252,257,153.3232421875,154.7264862060547,,,1.4032440185546875,0.009152193747890225,2020-01-02,2020-01-09,7 days,,0.22627004039791396,0.24513188698817778
73,1,254,259,151.80548095703125,155.86244201660156,,,4.0569610595703125,0.026724733744749596,2020-01-06,2020-01-13,7 days,,0.23235259006147727,0.1749435260380732
74,1,257,262,154.7264862060547,158.62112426757812,,,3.8946380615234375,0.02517111424825358,2020-01-09,2020-01-16,7 days,,0.24513188698817778,0.17542296632077733
75,1,263,268,159.5089111328125,154.90782165527344,,,-4.6010894775390625,-0.028845344406545625,2020-01-17,2020-01-27,10 days,,0.2573964443522747,0.11503191677872159
76,1,278,283,180.1276397705078,178.72439575195312,,,-1.4032440185546875,-0.007790275941784941,2020-02-10,2020-02-18,8 days,,0.22038910544271176,0.1275971305941379
77,1,285,290,176.52294921875,151.40652465820312,,,-25.116424560546875,-0.14228418838290657,2020-02-20,2020-02-27,7 days,,0.20175833259275588,-0.0890690230458883
78,1,362,367,188.93577575683594,186.44017028808594,,,-2.49560546875,-0.013208750215533027,2020-06-10,2020-06-17,7 days,,0.24349978586925874,0.13675849634824713
79,1,400,405,204.72523498535156,195.2132110595703,,,-9.51202392578125,-0.04646239105043326,2020-08-04,2020-08-11,7 days,,0.2527633621977514,0.1536145615359135
80,1,401,406,204.38929748535156,200.7898712158203,,,-3.59942626953125,-0.01761063966565679,2020-08-05,2020-08-12,7 days,,0.21121275715721913,0.178626990989437
81,1,402,407,207.66238403320312,200.31954956054688,,,-7.34283447265625,-0.035359482685521915,2020-08-06,2020-08-13,7 days,,0.2466482408662676,0.16269702767180508
82,1,403,408,203.94776916503906,200.5115509033203,,,-3.43621826171875,-0.0168485209511563,2020-08-07,2020-08-14,7 days,,0.20866781767879575,0.18171317429741587
83,1,404,409,199.8876495361328,201.83612060546875,,,1.9484710693359375,0.009747831213472447,2020-08-10,2020-08-17,7 days,,0.2377210103353775,0.14813998813240936
84,1,410,415,202.99752807617188,208.2798309326172,,,5.2823028564453125,0.02602151320021595,2020-08-18,2020-08-25,7 days,,0.20579230932432213,0.21061337564491825
85,1,412,417,206.46133422851562,218.00730895996094,,,11.545974731445312,0.05592318181314271,2020-08-20,2020-08-27,7 days,,0.272547162722774,0.20394285322032543
86,1,415,420,208.2798309326172,218.6711883544922,,,10.391357421875,0.04989132829302534,2020-08-25,2020-09-01,7 days,,0.21061337564491825,0.0562816680951399
87,1,416,421,212.78274536132812,222.885498046875,,,10.102752685546875,0.04747919136202183,2020-08-26,2020-09-02,7 days,,0.22402721814652155,0.09763254945917878
88,1,417,422,218.00730895996094,209.0784149169922,,,-8.92889404296875,-0.040956856380483186,2020-08-27,2020-09-03,7 days,,0.20394285322032543,-0.02195663770605798
89,1,497,502,214.7289581298828,216.23385620117188,,,1.5048980712890625,0.007008361072467828,2020-12-21,2020-12-29,8 days,,0.23592676100132054,0.13243651062018835
90,1,498,503,216.0312957763672,213.85107421875,,,-2.1802215576171875,-0.010092156091467963,2020-12-22,2020-12-30,8 days,,0.24361476418556588,0.07636797014656375
91,1,581,586,252.50741577148438,243.83424377441406,,,-8.673171997070312,-0.034348187242625006,2021-04-23,2021-04-30,7 days,,0.27482880343857136,0.21765782904580763
92,1,582,587,252.8941650390625,243.52484130859375,,,-9.36932373046875,-0.03704839820650485,2021-04-26,2021-05-03,7 days,,0.24095656454283965,0.15099785777182656
93,1,583,588,253.3002471923828,239.5895233154297,,,-13.710723876953125,-0.05412834779643838,2021-04-27,2021-05-04,7 days,,0.23274388376471916,0.14206556142947308
94,1,584,589,246.13548278808594,238.313232421875,,,-7.8222503662109375,-0.03178026295763958,2021-04-28,2021-05-05,7 days,,0.23512709422755965,0.09630744976819536
95,1,585,590,244.15333557128906,241.46531677246094,,,-2.688018798828125,-0.011009551815208574,2021-04-29,2021-05-06,7 days,,0.2349987220532496,0.13554186702378315
96,1,586,591,243.83424377441406,244.10498046875,,,0.2707366943359375,0.0011103308958786418,2021-04-30,2021-05-07,7 days,,0.21765782904580763,0.08415266880931403
97,1,627,632,263.02410888671875,271.2908630371094,,,8.266754150390625,0.03142964416980876,2021-06-29,2021-07-07,8 days,,0.20841831231936978,0.3008096432313743
98,1,628,633,262.5395202636719,268.8583068847656,,,6.31878662109375,0.024067944569822197,2021-06-30,2021-07-08,8 days,,0.23578751600498446,0.33865972434178304
99,1,629,634,263.2179870605469,269.3623352050781,,,6.14434814453125,0.023343192511831923,2021-07-01,2021-07-09,8 days,,0.2344853520307406,0.3397081091781348
100,1,630,635,269.08123779296875,268.76141357421875,,,-0.31982421875,-0.001188578666328488,2021-07-02,2021-07-12,10 days,,0.25201194548019107,0.3038330411872046
101,1,631,636,269.0909729003906,272.3084411621094,,,3.21746826171875,0.011956804894045048,2021-07-06,2021-07-13,7 days,,0.22647796832995729,0.2782279465694547
102,1,632,637,271.2908630371094,273.791259765625,,,2.500396728515625,0.00921666399127341,2021-07-07,2021-07-14,7 days,,0.3008096432313743,0.30298234958124964
103,1,633,638,268.8583068847656,272.3569030761719,,,3.49859619140625,0.013012788155754462,2021-07-08,2021-07-15,7 days,,0.33865972434178304,0.3031845692248627
104,1,634,639,269.3623352050781,272.0855712890625,,,2.723236083984375,0.0101099364241517,2021-07-09,2021-07-16,7 days,,0.3397081091781348,0.23939556671445508
105,1,635,640,268.76141357421875,268.4609680175781,,,-0.300445556640625,-0.0011178894791668004,2021-07-12,2021-07-19,7 days,,0.3038330411872046,0.28044142580826864
106,1,636,641,272.3084411621094,270.6997985839844,,,-1.608642578125,-0.005907428250332303,2021-07-13,2021-07-20,7 days,,0.2782279465694547,0.2589176098209343
107,1,637,642,273.791259765625,272.71551513671875,,,-1.07574462890625,-0.003929068553273463,2021-07-14,2021-07-21,7 days,,0.30298234958124964,0.2640827007906781
108,1,638,643,272.3569030761719,277.3092041015625,,,4.952301025390625,0.018183130184901364,2021-07-15,2021-07-22,7 days,,0.3031845692248627,0.3139147445423978
109,1,639,644,272.0855712890625,280.7302551269531,,,8.644683837890625,0.03177193041488602,2021-07-16,2021-07-23,7 days,,0.23939556671445508,0.3506594580464472
110,1,640,645,268.4609680175781,280.12939453125,,,11.668426513671875,0.04346414527160558,2021-07-19,2021-07-26,7 days,,0.28044142580826864,0.4230386363030884
111,1,641,646,270.6997985839844,277.6969299316406,,,6.99713134765625,0.025848306442257662,2021-07-20,2021-07-27,7 days,,0.2589176098209343,0.38159702415019053
112,1,642,647,272.71551513671875,277.38677978515625,,,4.6712646484375,0.01712870881620243,2021-07-21,2021-07-28,7 days,,0.2640827007906781,0.3210260330189568
113,1,643,648,277.3092041015625,277.6580810546875,,,0.348876953125,0.0012580792413843245,2021-07-22,2021-07-29,7 days,,0.3139147445423978,0.27842117774374314
114,1,644,649,280.7302551269531,276.11724853515625,,,-4.613006591796875,-0.016432167561386546,2021-07-23,2021-07-30,7 days,,0.3506594580464472,0.23883513837916298
115,1,645,650,280.12939453125,276.030029296875,,,-4.099365234375,-0.014633827489737739,2021-07-26,2021-08-02,7 days,,0.4230386363030884,0.1877469121627174
116,1,646,651,277.6969299316406,278.2590026855469,,,0.56207275390625,0.0020240510186577687,2021-07-27,2021-08-03,7 days,,0.38159702415019053,0.20632867697887577
117,1,647,652,277.38677978515625,277.6678771972656,,,0.281097412109375,0.0010133771058846719,2021-07-28,2021-08-04,7 days,,0.3210260330189568,0.19050079680264048
118,1,648,653,277.6580810546875,280.5849304199219,,,2.926849365234375,0.010541200004396512,2021-07-29,2021-08-05,7 days,,0.27842117774374314,0.20593743751804683
119,1,649,654,276.11724853515625,280.5267639160156,,,4.409515380859375,0.015969720849575708,2021-07-30,2021-08-06,7 days,,0.23883513837916298,0.19587654888310765
120,1,651,656,278.2590026855469,277.5999755859375,,,-0.659027099609375,-0.0023683945290141617,2021-08-03,2021-08-10,7 days,,0.20632867697887577,0.16248957195421504
121,1,653,658,280.5849304199219,280.8659973144531,,,0.28106689453125,0.0010017177120331677,2021-08-05,2021-08-12,7 days,,0.20593743751804683,0.1842016652252801
122,1,659,664,283.8121643066406,295.53155517578125,,,11.719390869140625,0.04129277156872879,2021-08-13,2021-08-20,7 days,,0.2573460991818502,0.26240845228268467
123,1,660,665,285.5081481933594,295.813232421875,,,10.305084228515625,0.036093835828238996,2021-08-16,2021-08-23,7 days,,0.32443588735987905,0.2619978960839827
124,1,661,666,284.0350341796875,293.8420715332031,,,9.807037353515625,0.034527562354549124,2021-08-17,2021-08-24,7 days,,0.3447886107874683,0.23585529464226504
125,1,662,667,282.2970275878906,293.2497863769531,,,10.9527587890625,0.03879870391356666,2021-08-18,2021-08-25,7 days,,0.24660054090269862,0.252528588227041
126,1,663,668,288.1617736816406,290.4145202636719,,,2.25274658203125,0.007817645460914235,2021-08-19,2021-08-26,7 days,,0.2576178392259482,0.24255840326904482
127,1,664,669,295.53155517578125,291.0262451171875,,,-4.50531005859375,-0.015244768214054183,2021-08-20,2021-08-27,7 days,,0.26240845228268467,0.28029728306158214
128,1,665,670,295.813232421875,294.783935546875,,,-1.029296875,-0.003479549804357829,2021-08-23,2021-08-30,7 days,,0.2619978960839827,0.31660402960919654
129,1,666,671,293.8420715332031,293.12359619140625,,,-0.718475341796875,-0.002445107121822332,2021-08-24,2021-08-31,7 days,,0.23585529464226504,0.22094491566987143
130,1,667,672,293.2497863769531,293.0750427246094,,,-0.17474365234375,-0.0005958867165861692,2021-08-25,2021-09-01,7 days,,0.252528588227041,0.17116449594125488
131,1,668,673,290.4145202636719,292.4146423339844,,,2.0001220703125,0.006887128331243719,2021-08-26,2021-09-02,7 days,,0.24255840326904482,0.12316436435587859
132,1,669,674,291.0262451171875,292.405029296875,,,1.3787841796875,0.004737662677578358,2021-08-27,2021-09-03,7 days,,0.28029728306158214,0.07611964074728694
133,1,670,675,294.783935546875,291.47283935546875,,,-3.31109619140625,-0.011232281654913079,2021-08-30,2021-09-07,8 days,,0.31660402960919654,0.11965062433302603
134,1,671,676,293.12359619140625,291.5019226074219,,,-1.621673583984375,-0.005532388402213262,2021-08-31,2021-09-08,8 days,,0.22094491566987143,0.16587027852715713
135,1,712,717,314.9417419433594,326.6810302734375,,,11.739288330078125,0.037274475773330096,2021-10-28,2021-11-04,7 days,,0.2847681544043174,0.3828329045338095
