ticker,model,accuracy,precision,recall,f1_score
AAPL,Logistic,0.5579150579150579,0.5599214145383105,0.9827586206896551,0.7133917396745932
AAPL,DecisionTree,0.5501930501930502,0.555992141453831,0.9758620689655172,0.7083854818523154
AAPL,RandomForest,0.5637065637065637,0.5704845814977973,0.8931034482758621,0.6962365591397849
AAPL,GradientBoosting,0.5482625482625483,0.5583333333333333,0.9241379310344827,0.6961038961038962
MSFT,Logistic,0.5656370656370656,0.566990291262136,0.9931972789115646,0.7218788627935723
MSFT,DecisionTree,0.525096525096525,0.558252427184466,0.782312925170068,0.6515580736543909
MSFT,RandomForest,0.5231660231660231,0.5528089887640449,0.8367346938775511,0.6657645466847092
MSFT,GradientBoosting,0.5405405405405406,0.5590717299578059,0.9013605442176871,0.6901041666666666
GOOGL,Logistic,0.5694980694980695,0.5637450199203188,0.9860627177700348,0.7173637515842839
GOOGL,DecisionTree,0.5463320463320464,0.5575221238938053,0.8780487804878049,0.6820027063599458
GOOGL,RandomForest,0.5501930501930502,0.5671641791044776,0.794425087108014,0.6618287373004353
GOOGL,GradientBoosting,0.5463320463320464,0.5580357142857143,0.8710801393728222,0.6802721088435374
