Date,target,ret1,ret3,sma5,vol5
2015-01-09,0,-0.00844052771335025,0.033178383241110616,-0.012545083046190064,0.018428885613006932
2015-01-12,0,-0.012581469970860707,0.007971720804261161,0.0011158378885680609,0.01898315645910227
2015-01-13,0,-0.005163601369369344,-0.026185599053580214,0.009361535997591153,0.01738240811248049
2015-01-14,1,-0.008665149667539044,-0.026410221007769016,0.01697096509504359,0.01706647476582118
2015-01-15,1,-0.010499136754734871,-0.024327887791643223,0.018425747539716708,0.0027474052590632765
2015-01-16,1,0.016572500786944836,-0.0025917856353290312,-0.0024220411345947657,0.011855411096724113
2015-01-20,0,0.003238635838733072,0.009311999870943182,-0.006553000240751228,0.011102204811065606
2015-01-21,0,-0.010183279257129156,0.009627857368548777,0.0016988239582163,0.011789441424363799
2015-01-22,0,0.026009050957535574,0.019064407539139613,-0.019053630465589277,0.016195345112481614
2015-01-23,0,0.0010603768649191578,0.016886148565325616,-0.012886831717759617,0.01411641512200654
2015-01-26,0,-0.0036094806193411335,0.023459947203113556,-0.006041493128430275,0.013695440553821547
2015-01-27,0,-0.09709854043301953,-0.09964764418744154,0.07782438400255098,0.046950047791119415
2015-01-28,1,-0.03506634815494654,-0.13577436920730734,0.09332356391431662,0.04739474114286981
2015-01-29,1,0.019712216246194764,-0.11245267234177142,0.047607675654953274,0.04586779328914967
2015-01-30,1,-0.03907792825145773,-0.05443206016020962,0.05579212002435896,0.044081659064519954
2015-02-02,1,0.021548263392113635,0.0021825513868505486,0.005523345183841011,0.04913928502550806
2015-02-03,1,0.007721806372414457,-0.009807858486929727,-0.007307455623682402,0.029760013085603797
2015-02-04,1,0.005753060249261629,0.035023130013789705,-0.009894983599465945,0.024615425291494936
2015-02-05,1,0.014473990119525632,0.027948856741201684,-0.022049520653704024,0.023832334157676462
2015-02-06,1,-0.0009429359765568169,0.01928411439223048,-0.01164808541898521,0.008601386654355881
2015-02-09,1,-0.0011797115165912797,0.012351342626377685,-0.005382314208480565,0.006540309942163162
2015-02-10,1,0.005649819273348951,0.00352717178020075,-0.0062910176370811755,0.006402007176871026
2015-02-11,1,-0.005177368516921075,-0.000707260760163398,0.0014155050137589775,0.007707348842742916
2015-02-12,1,0.016613875078576784,0.017086325835004607,-0.012113987751077082,0.008547586813285648
2015-02-13,1,0.01794011523491466,0.029376621796570374,-0.02302268120444073,0.010354536219952522
2015-02-17,1,0.00045913384994269334,0.03501312416343402,-0.01649847286321282,0.010061806258863487
2015-02-18,1,-0.0011481285874287968,0.017251120497428427,-0.009712629387140792,0.010742517610153018
2015-02-19,1,-0.0006897745992476242,-0.001378769336733858,-0.0025031269527578948,0.009743642985819425
2015-02-20,0,0.00824202729051183,0.006404124103835332,-0.005791076397755446,0.00819667731973218
2015-02-23,0,0.0065904495619961406,0.014142702253260265,-0.009649094090981025,0.004392305267338495
2015-02-24,0,-0.0013600307201609013,0.013472446132347026,-0.005987845428041094,0.004688714994181381
2015-02-25,0,-0.002270869858967057,0.0029595489828680367,-0.0016366591062497715,0.004918022134796962
2015-02-26,0,0.0015902605535135653,-0.0020406400256143932,-0.0006809814141549575,0.004695058133553564
2015-02-27,0,-0.004777683042678444,-0.0054582923481320015,0.004059291761822292,0.00435273929620029
2015-03-02,0,0.0006838677069719979,-0.0025035547821929075,0.0021422208362191775,0.002515108540656621
2015-03-03,0,-0.01376782734287964,-0.017861642678586066,0.012291913464759219,0.006159743437367781
2015-03-04,0,-0.005096358327526945,-0.018180317963434507,0.013144551139499416,0.006124392428252837
2015-03-05,0,0.0011606532310459042,-0.017703532439360598,0.00756199469386587,0.00602374696846002
2015-03-06,0,-0.017550348726744235,-0.02148605382322526,0.018366242411386402,0.008460766856891271
2015-03-09,0,0.011501095406698024,-0.00488860008900033,0.0019135839207706784,0.011665376371837304
2015-03-10,0,-0.01932193010815004,-0.025371183428196286,0.015512611957869682,0.012934142416625997
2015-03-11,1,-0.001190600156225991,-0.00901143485767803,0.011577103868896543,0.013108662013125485
2015-03-12,1,-0.0231335057429668,-0.04364603600734287,0.025061042986265658,0.014631124183686625
2015-03-13,1,0.008738045233763127,-0.015586060665429769,0.011406435619981004,0.015882110059073924
2015-03-16,1,0.004340183653790978,-0.01005527685541288,0.000818298300274245,0.014302325527947551
2015-03-17,1,0.0033631824144058874,0.016441411301959852,-0.004124751380688463,0.012556381509791423
2015-03-18,0,0.019002987028778336,0.02670635309697514,-0.020423592691255488,0.015592166409152059
2015-03-19,0,-0.004953800573626264,0.017412368869557993,-0.009552837562443295,0.008749570995632722
2015-03-20,0,0.013854744458112881,0.027903930913264974,-0.016184444278377397,0.009409833560892379
2015-03-23,0,-0.0004662185471991222,0.00843472533728753,-0.009659388269817604,0.009992458806139384
2015-03-24,0,0.0009329410318622319,0.01432146694277607,-0.004988489717398514,0.010219057490742454
2015-03-25,0,-0.034142794072631405,-0.03367607158796824,0.024553681842294228,0.017752118319843566
2015-03-26,0,-0.006047907105492688,-0.039257760146261735,0.02552751341092163,0.017758841418856797
2015-03-27,1,-0.005841189059231407,-0.04603189023735543,0.022211501211345963,0.014337694142582267
2015-03-30,1,-0.0002443811631078582,-0.012133477327832001,0.013183930034349256,0.014371444224633963
2015-03-31,1,-0.0073508655274802685,-0.013436435749819503,0.009640925009109402,0.013372995552668472
2015-04-01,1,0.0014745674056935994,-0.00612067928489457,0.004518652638333842,0.00394003689142403
2015-04-02,1,-0.010615823111037998,-0.016492121232824647,0.010672348944018362,0.005028271443834587
